Date,Price
2018-05-17,1100.0
2018-05-24,1100.0
2018-06-21,1100.0
2018-07-05,1100.0
2018-08-03,1100.0
2018-08-12,1100.0
2018-10-08,1100.0
2018-10-15,1100.0
2018-10-29,1100.0
2018-11-01,1100.0
2018-11-06,1100.0
2018-11-09,1100.0
2018-11-21,1100.0
2018-11-27,1100.0
2018-12-10,1100.0
2018-12-17,1100.0
2018-12-20,1100.0
2019-01-03,1100.0
2019-02-04,1100.0
2019-02-11,1100.0
2019-02-14,1100.0
2019-02-28,1100.0
2019-04-25,1100.0
2019-05-09,1100.0
2019-06-25,1100.0
2019-07-09,1100.0
2019-07-19,1100.0
2019-08-02,1100.0
2019-08-07,1100.0
2019-08-09,1100.0
2019-09-27,1100.0
2019-10-11,1100.0
2019-10-28,1100.0
2019-11-01,1100.0
2019-12-09,1100.0
2019-12-16,1100.0
2019-12-19,1100.0
2020-01-02,1100.0
2020-01-23,1100.0
2020-02-10,1100.0
2020-04-01,1100.0
2020-04-05,1100.0
2020-05-14,1100.0
2020-05-18,1100.0
2020-06-04,1100.0
2020-06-08,1100.0
2020-06-25,1100.0
2020-07-09,1100.0
2020-07-10,1100.0
2020-07-24,1100.0
2020-09-11,1100.0
2020-09-25,1100.0
2020-10-29,1100.0
2020-11-02,1100.0
2020-11-19,1100.0
2020-11-21,1100.0
2020-12-22,1100.0
2021-01-05,1100.0
2021-01-29,1100.0
2021-02-10,1100.0
