Date,Price
2014-11-27,480.0
2014-11-29,480.0
2014-12-01,480.0
2014-12-02,480.0
2014-12-18,480.0
2014-12-24,480.0
2014-12-26,480.0
2015-01-02,480.0
2015-02-14,480.0
2015-02-16,480.0
2015-06-11,480.0
2015-06-16,480.0
2015-06-18,480.0
2015-06-20,480.0
2015-06-22,480.0
2015-06-30,480.0
2015-07-02,480.0
2015-11-26,480.0
2015-12-01,480.0
2015-12-22,480.0
2016-01-04,480.0
2016-02-09,480.0
2016-02-12,480.0
2016-06-23,480.0
2016-07-04,480.0
2016-10-28,480.0
2016-11-01,480.0
2016-11-16,480.0
2016-11-18,480.0
2016-11-23,480.0
2016-12-02,480.0
2016-12-22,480.0
2017-01-02,480.0
2017-04-16,480.0
2017-04-18,480.0
2017-06-22,480.0
2017-07-05,480.0
2017-10-26,480.0
2017-11-01,480.0
2017-11-22,480.0
2017-11-28,480.0
2017-12-21,480.0
2018-01-04,480.0
2018-02-15,480.0
2018-02-19,480.0
2018-06-21,480.0
2018-07-05,480.0
2018-10-29,480.0
2018-11-01,480.0
2018-11-21,480.0
2018-11-27,480.0
2018-12-20,480.0
2019-01-08,480.0
2019-02-04,480.0
2019-02-11,480.0
2019-04-05,480.0
2019-04-12,480.0
2019-06-25,480.0
2019-07-09,480.0
2019-10-28,480.0
2019-11-01,480.0
2019-11-10,480.0
2019-11-12,480.0
2019-11-26,480.0
2019-12-03,480.0
2019-12-19,480.0
2020-01-02,480.0
2020-01-23,480.0
2020-01-27,480.0
2020-03-31,480.0
2020-04-03,480.0
2020-06-25,480.0
2020-07-09,480.0
2020-10-29,480.0
2020-11-02,480.0
2020-11-25,480.0
2020-12-01,480.0
2020-12-22,480.0
2021-01-05,480.0
