Date,Price
2024-04-15,480
2024-05-27,240
2024-06-03,480
2024-06-27,240
2024-07-11,480
2024-11-27,240
2024-12-04,480
2024-12-20,240
2025-01-03,480
2025-03-13,240
2025-03-20,480
2025-04-10,240
2025-04-14,480
2025-06-26,240
2025-06-27,240
2025-07-10,480
2025-09-29,240
2025-10-06,480
2025-12-18,240
2026-01-05,480
2026-03-19,240
2026-03-26,480
2026-04-15,480
